verified:,TRUE,w:,2,h:,3,sockets:,group:,0,attr:,S,sColour:,R,group:,0,attr:,D,sColour:,G,group:,1,attr:,S,sColour:,R,group:,1,attr:,I,sColour:,B,name:,Phoenix,Veil,typeLine:,Dragonscale,Doublet,baseType:,Dragonscale,Doublet,identified:,TRUE,ilvl:,79,note:,~price,1,fusing,properties:,name:,Armour,values:,453,1,displayMode:,0,type:,16,name:,Evasion,Rating,values:,453,1,displayMode:,0,type:,17,requirements:,name:,Level,values:,57,0,displayMode:,0,type:,62,name:,Str,values:,83,0,displayMode:,1,type:,63,name:,Dex,values:,83,0,displayMode:,1,type:,64,explicitMods:,35,to,Strength,37%,increased,Armour,and,Evasion,75,to,maximum,Life,Regenerate,22.7,Life,per,second,15%,increased,Stun,and,Block,Recovery,6%,reduced,Fire,Damage,taken,frameType:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verified:,TRUE,w:,2,h:,3,sockets:,group:,0,attr:,S,sColour:,R,group:,0,attr:,D,sColour:,G,group:,1,attr:,S,sColour:,R,name:,Soul,Guardian,typeLine:,Chainmail,Vest,baseType:,Chainmail,Vest,identified:,TRUE,ilvl:,6,note:,~price,1,fusing,properties:,name:,Armour,values:,28,0,displayMode:,0,type:,16,name:,Energy,Shield,values:,9,0,displayMode:,0,type:,18,requirements:,name:,Level,values:,4,0,displayMode:,0,type:,62,explicitMods:,14,to,maximum,Life,7%,to,Fire,Resistance,9%,to,Cold,Resistance,Reflects,2,Physical,Damage,to,Melee,Attackers,frameType:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verified:,TRUE,w:,2,h:,3,sockets:,group:,0,attr:,S,sColour:,R,group:,1,attr:,S,sColour:,R,name:,Demon,Curtain,typeLine:,Astral,Plate,baseType:,Astral,Plate,identified:,TRUE,ilvl:,66,note:,~price,4,jewellers,properties:,name:,Armour,values:,1223,1,displayMode:,0,type:,16,requirements:,name:,Level,values:,62,0,displayMode:,0,type:,62,name:,Str,values:,180,0,displayMode:,1,type:,63,implicitMods:,12%,to,all,Elemental,Resistances,explicitMods:,25,to,Armour,55%,increased,Armour,76,to,maximum,Life,Regenerate,28.8,Life,per,second,10%,to,Fire,Resistance,18%,increased,Stun,and,Block,Recovery,frameType:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verified:,TRUE,w:,2,h:,3,sockets:,group:,0,attr:,S,sColour:,R,group:,1,attr:,S,sColour:,R,name:,Fate,Cloak,typeLine:,Devout,Chainmail,baseType:,Devout,Chainmail,identified:,TRUE,ilvl:,62,properties:,name:,Armour,values:,407,1,displayMode:,0,type:,16,name:,Energy,Shield,values:,97,1,displayMode:,0,type:,18,requirements:,name:,Level,values:,55,0,displayMode:,0,type:,62,name:,Str,values:,80,0,displayMode:,1,type:,63,name:,Int,values:,80,0,displayMode:,1,type:,65,explicitMods:,20,to,Strength,43,to,Armour,16%,increased,Armour,and,Energy,Shield,21,to,maximum,Energy,Shield,31%,increased,Stun,and,Block,Recovery,frameType:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verified:,TRUE,w:,2,h:,3,sockets:,group:,0,attr:,I,sColour:,B,group:,0,attr:,D,sColour:,G,group:,0,attr:,D,sColour:,G,group:,0,attr:,I,sColour:,B,name:,Soul,Ward,typeLine:,Blood,Raiment,baseType:,Blood,Raiment,identified:,TRUE,ilvl:,66,properties:,name:,Evasion,Rating,values:,727,1,displayMode:,0,type:,17,name:,Energy,Shield,values:,121,1,displayMode:,0,type:,18,requirements:,name:,Level,values:,65,0,displayMode:,0,type:,62,name:,Dex,values:,107,0,displayMode:,1,type:,64,name:,Int,values:,90,0,displayMode:,1,type:,65,explicitMods:,48%,increased,Evasion,and,Energy,Shield,40%,faster,start,of,Energy,Shield,Recharge,65,to,maximum,Life,24%,increased,Stun,and,Block,Recovery,frameType:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verified:,TRUE,w:,2,h:,3,sockets:,group:,0,attr:,S,sColour:,R,name:,Rune,Wrap,typeLine:,Latticed,Ringmail,baseType:,Latticed,Ringmail,identified:,TRUE,ilvl:,45,note:,~price,1,alch,properties:,name:,Armour,values:,280,1,displayMode:,0,type:,16,name:,Energy,Shield,values:,61,1,displayMode:,0,type:,18,requirements:,name:,Level,values:,39,0,displayMode:,0,type:,62,name:,Str,values:,59,0,displayMode:,1,type:,63,name:,Int,values:,59,0,displayMode:,1,type:,65,explicitMods:,7,to,Armour,18%,increased,Armour,and,Energy,Shield,4,to,maximum,Energy,Shield,Regenerate,23.3,Life,per,second,11%,to,Fire,Resistance,8%,to,Lightning,Resistance,9%,increased,Stun,and,Block,Recovery,Reflects,23,Physical,Damage,to,Melee,Attackers,frameType:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verified:,TRUE,w:,2,h:,3,sockets:,group:,0,attr:,I,sColour:,B,group:,0,attr:,S,sColour:,R,group:,1,attr:,I,sColour:,B,name:,Victory,Cloak,typeLine:,Crusader,Chainmail,baseType:,Crusader,Chainmail,identified:,TRUE,ilvl:,66,properties:,name:,Armour,values:,268,1,displayMode:,0,type:,16,name:,Energy,Shield,values:,59,1,displayMode:,0,type:,18,requirements:,name:,Level,values:,43,0,displayMode:,0,type:,62,name:,Str,values:,64,0,displayMode:,1,type:,63,name:,Int,values:,64,0,displayMode:,1,type:,65,explicitMods:,19,to,Armour,7,to,maximum,Energy,Shield,13%,to,Fire,Resistance,31%,to,Cold,Resistance,28%,to,Lightning,Resistance,frameType:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verified:,TRUE,w:,2,h:,3,sockets:,group:,0,attr:,I,sColour:,B,group:,0,attr:,I,sColour:,B,group:,1,attr:,I,sColour:,B,group:,1,attr:,I,sColour:,B,name:,Oblivion,Suit,typeLine:,Sadist,Garb,baseType:,Sadist,Garb,identified:,TRUE,ilvl:,69,properties:,name:,Evasion,Rating,values:,732,1,displayMode:,0,type:,17,name:,Energy,Shield,values:,177,1,displayMode:,0,type:,18,requirements:,name:,Level,values:,68,0,displayMode:,0,type:,62,name:,Dex,values:,103,0,displayMode:,1,type:,64,name:,Int,values:,109,0,displayMode:,1,type:,65,explicitMods:,10,to,Intelligence,37,to,Evasion,Rating,45%,increased,Evasion,and,Energy,Shield,20,to,maximum,Energy,Shield,36%,faster,start,of,Energy,Shield,Recharge,frameType:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verified:,TRUE,w:,2,h:,3,sockets:,group:,0,attr:,D,sColour:,G,group:,1,attr:,D,sColour:,G,group:,1,attr:,I,sColour:,B,name:,Horror,Hide,typeLine:,Sadist,Garb,baseType:,Sadist,Garb,identified:,TRUE,ilvl:,74,properties:,name:,Evasion,Rating,values:,586,1,displayMode:,0,type:,17,name:,Energy,Shield,values:,142,1,displayMode:,0,type:,18,requirements:,name:,Level,values:,68,0,displayMode:,0,type:,62,name:,Dex,values:,103,0,displayMode:,1,type:,64,name:,Int,values:,109,0,displayMode:,1,type:,65,explicitMods:,41,to,Dexterity,23,to,Intelligence,47,to,Evasion,Rating,18%,increased,Evasion,and,Energy,Shield,22,to,maximum,Energy,Shield,43,to,maximum,Mana,10%,to,Lightning,Resistance,9%,increased,Stun,and,Block,Recovery,frameType:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verified:,TRUE,w:,2,h:,3,sockets:,group:,0,attr:,I,sColour:,B,group:,0,attr:,I,sColour:,B,name:,Ghoul,Pelt,typeLine:,Destroyer,Regalia,baseType:,Destroyer,Regalia,identified:,TRUE,ilvl:,72,properties:,name:,Quality,values:,5%,1,displayMode:,0,type:,6,name:,Energy,Shield,values:,231,1,displayMode:,0,type:,18,requirements:,name:,Level,values:,53,0,displayMode:,0,type:,62,name:,Int,values:,145,0,displayMode:,1,type:,65,explicitMods:,51,to,maximum,Energy,Shield,37%,increased,Energy,Shield,63,to,maximum,Life,19%,to,Fire,Resistance,36%,to,Lightning,Resistance,15%,increased,Stun,and,Block,Recovery,frameType:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
